invoice_no,date,seller,client,seller_tax,iban,client_tax
39652805,03/20/2020,,Lewis and Sons Hancock LLC,988-97-7797,GB51EXRQ57779404817003,982-72-2795
15172184,,"Hart-Wright
425 Brown Shoal Apt. 586
Aguirrefort, NY 56575","Foster-Parks
7419 Smith Valley Apt. 840
West Sherri, MT 92201",953-74-2648,GB12TWET03625735938856,943-86-1330
99454334,,"Jones-Silva
3689 Melissa Landing
West Bradleyside, WY 08475",Stafford and Sons,902-82-9449,GB51ZWSQ26028568835728,910-94-4040
87873157,,"Kirby Group
6624 Warren Loaf
Tammyton, SD 76568","Martin-Allison
61224 Melody Springs Apt. 423
Michaelside, CT 66290",968-79-4900,GB24DZPZ07097099676839,943-81-3637
23897213,,"Moore, Thomas and Crosby
1983 Kelly Streets Apt. 218
North Andrew, CT 56538","Aguirre Ltd
0395 Yu Stream
Port Richard, KS",943-88-9123,GBO2DWPT02935660860053,924-73-4934
60518602,,"Ross Group
9177 Torres Streets
Charleston, RI 34271",UM,929-73-9404,GB44AYWK92124948516846,963-87-9848
35259356,01/20/2018,,Wilkins Ltd Ross Inc,928-96-4400,GB8ONLWF79872037169129,939-96-7563
74263194,03/28/2020,,"Duran Group
51149 Jordan Corners
Singhmouth, MO 14592",917-88-4853,GB97UADP91298552977140,954-81-3
59051048,,"Howell, Underwood and Davis
28530 Aaron Rapid
Port Michelleland, AR 51018","Gardner LLC
5115 Meza Mountain Suite 952
Lopezland, MA 27123",989-83-0730,GB20VEMN29130859876706,948-94-1459
13310164,01/16/2020,,"Montgomery LLC Campbell-Flores
75081 David Corners 34813 Davis Views
Lake Kellyview, NH 03078 Jasonhaven, MO 32671
Tax Id: 924-83-8802 Tax Id: 999-80-5625",924-83-8802,GB13LKIT26418644296553,999-80-5625
76272465,,"Williams PLC
54517 Preston Falls
Robynside, PA 66900","Mcdonald-Green
0014 Franklin In
West Angela, IL",995-95-4739,GB81HYMN60082229755269,930-74-1
38680884,12/22/2015,,"Barnes, Roberts and Hayes Taylor, Padilla and Carson
85366 Shaffer Pine 3794 Mark Wells
Donaldburgh, VA 49998 Cummingsport, PA 01428
Tax Id: 947-71-5317 Tax Id: 987-84-5701",947-71-5317,GB68ZQPE16473995044513,987-84-5701
23908850,,"Galloway, Silva and Nelson
4883 Jacqueline Grove Suite 424
Kingburgh, IL 87504","Meza, Long and",904-95-9465,GB56AMOT20381791595194,996-91-5459
20295549,,"Williams-Morris
232 Kelly Route
Adamsborough, TX 58099",Ward-Jordan,917-74-0669,GB28FVFP72557385738524,999-79-0463
45141161,,"Webster-Pierce
584 Howell Gateway Apt. 071
Christinaport, DE 37391","Carter, Kelley and Scott
10615 Parker Squares Suite 427
Waltershaven, TN 05191",924-70-3297,GBO4QTVN37160669532304,929-73-2229
42910151,,"Terry, Mccarthy and Clark
227 Castro Pine
Port Sarah, UT 81957","Schultz, Thomas and Lang",933-95-9157,GB35THGM38607815672207,960-86-6276
