Invoice No,Date,Seller Name,Client Name,Seller Tax ID,Seller IBAN,Client Tax ID,Total Amount,Category
70284416,04/15/2012,Johnson PLC,Marshall-Perez Freeman Spur,973-86-4868,GB15SYHN68815141579564,987-99-8588,32.97,Clothing
88834769,08/18/2011,Kent LLC,Gonzales PLC Mia,945-74-3857,GB59LHKM54828280927726,983-77-6600,37.38,Clothing
40394912,03/23/2020,Mccullough-Bradley Vargas,Cross-Estrada Smith Roads,905-94-2945,GB76GUQ007697012433171,915-81-8637,1369.50,Electronics
99096943,10/08/2018,Hughes-Hernandez Keith,Walker Group Emily,960-92-1196,GB83CSXU98872324709301,976-83-0903,231.39,Clothing
72744145,03/29/2016,"Elliott, Simon","Hopkins, Graves and",953-92-2203,GB21SZAV32374970565640,900-91-6751,3085.50,Clothing
43551281,11/02/2014,Phillips Group,Bowen-Schroeder USNS York,945-72-4005,GB92GRCP09909713884000,997-87-9215,2089.23,Electronics
12222347,03/18/2017,"Gregory, Patterson",Wilson PLC Wu,958-94-6606,GB10YCPS61791374226282,928-91-2431,136.13,Clothing
26388025,09/01/2018,"Green, Sanchez",Robertson-Davis Bobby Inlet,992-75-0742,GB88UACG16491215528907,923-92-7597,20.72,Clothing
13044521,01/02/2013,Johnson Group,Garcia and Sons,942-98-3474,GB76MFUI00830050935765,961-71-7742,53078.96,Furniture
10457894,08/21/2012,Martin LLC,Morgan-Houston Unit Box,910-97-1825,GB94MJXC26324174236375,928-94-8925,215.04,Clothing
59336079,01/09/2012,"Perry, Brown",Rogers-Brown USS Kaufman,914-78-6724,GB73RSAW75064180740470,955-90-1162,2.19,Clothing
94292113,06/06/2016,"Sosa, Maynard",Johnson and Sons,919-90-9037,GB36ARZV43474957834914,937-77-6054,962.46,Clothing
91484809,04/05/2013,"Ramirez, Jones",Lopez Inc Lewis,982-96-8005,GB61UDCE09295877826153,999-83-6908,81492.41,Clothing
51265939,11/16/2016,"Leonard, Forbes",Weaver-Carr Steve Mount,963-99-3171,GB24NDPE47193318639194,996-90-5190,5906.47,Electronics
43883632,06/20/2020,"Walker, Serrano","Wu, Chung and",962-70-6550,GB76AIJU54287378178772,975-84-3342,330.00,Electronics
65095335,02/15/2017,Payne-Davis Joshua,Flores LLC Lance,963-77-0670,GB820RRJ16785128958323,946-95-4678,46910.41,Clothing
14361748,09/09/2018,"Nelson, Ellis","Becker, Day and",947-75-6103,GB58TPRT33084019818580,932-85-8021,412.36,Clothing
16692901,04/03/2018,Jackson-Oliver Hawkins,Tucker-Diaz Murphy Garden,911-70-7669,GB93CNVP09591308802379,911-83-7666,79.13,Clothing
78962884,01/03/2019,Thomas PLC,Anderson-Rodriguez Andrea Lodge,965-91-1363,GB24FBNX04499177844340,970-72-3048,409.05,Clothing
27216737,05/23/2018,"Nicholson, Hamilton",Campbell and Sons,973-80-8757,GB58DFZZ87387694076811,998-85-9901,18561.36,Clothing
80797635,11/22/2014,"Franco, Richardson",Decker Group Joseph,972-83-6108,GB95SSTT34496603515491,910-82-2206,557.40,Clothing
76658127,10/23/2011,Crawford-Byrd PSC,Sherman PLC Chapman,922-97-5588,GB21ZEZG69535709532307,973-85-9820,628.00,Clothing
59326638,05/27/2013,Ashley-Shaw USNS,"Huber, Walker and",926-83-7399,GB39MTZP97412080764188,929-76-2624,158.38,Clothing
74724200,02/15/2016,"Perez, King","Hawkins, Bell and",933-83-3647,GB81YJES41831888621426,996-90-5198,242.70,Clothing
64281058,11/08/2019,"Zuniga, Short",Wells Ltd Adam,984-91-8764,GB67BNED14756248228264,951-97-2583,15416.49,Electronics
28935386,02/25/2017,Bishop Group,"Mayer, Richardson and",927-78-0136,GB71ETPX44286405633541,915-85-9642,3157.01,Clothing
79587541,08/02/2014,Baker-Wagner Duarte,"Horton, Gillespie and",971-99-0928,GB24KU0P15238222815223,965-80-2789,10.99,Clothing
29593215,11/20/2017,Hooper Group,"Washington, Robertson and",959-77-0149,GB36KYGW45822746301062,961-86-4018,462.97,Clothing
61264237,10/25/2020,"Larson, Jones",Cisneros Group Steven,916-74-1494,GB69HBKR40305240693626,990-87-1503,288.15,Clothing
93062905,08/16/2014,"Gaines, Wilson",Anderson Group Peters,920-97-1776,GB26BGEN59099349063514,906-90-6958,1800.81,Clothing
26363966,06/13/2016,"Griffin, Cox",Fox Inc Watson,989-73-7669,GB70PACC88989412041655,935-80-4731,323.84,Clothing
47703225,06/18/2018,Lee and,Green Ltd Hull,991-83-3935,GB33NHQZ56657576499073,970-79-2957,56338.59,Clothing
19512841,06/18/2012,Camacho-Stewart Brown,Fleming Ltd Robert,971-74-5288,GB42KUJL76533439438067,914-75-0393,1102.90,Electronics
86976994,08/02/2020,Williams Inc,"Gonzalez, Taylor and",965-92-9874,GB51JHJR84532303560463,987-81-8294,852.50,Electronics
14778207,01/06/2017,Allen Inc,"Caldwell, Ortega and",989-70-9478,GB30DMSA40554066713364,924-91-4797,12267.20,Clothing
86602235,04/03/2021,Yoder Inc,Barnes-Morton Marcia Lodge,928-77-9757,GB71QJNA44395529511929,915-79-3513,3729.94,Clothing
