Invoice No,Date,Seller Name,Client Name,Seller Tax ID,Seller IBAN,Client Tax ID,Total Amount,Category
46506594,03/12/2012,Porter-Perkins James,Castaneda LLC Fry,929-76-1260,GB49GJRS28729607733931,940-86-9734,1469.45,Electronics
44456646,03/21/2015,Austin and,"Delacruz, Hinton and",916-98-8677,GB48PIBU37974446029688,940-84-8016,316.10,Clothing
98858130,01/28/2021,"Dominguez, Jackson","Rodriguez, Hall and",969-72-5121,GB210JGQ49248059733020,941-88-5692,442.07,Beverages
36187296,01/05/2017,"Lopez, Murray",White Ltd Kline,951-73-0229,GB480UAZ93098629612648,966-84-8472,518.80,Furniture
56908352,01/11/2015,"Lozano, Wang","Evans, Curtis and",914-76-8473,GB68RRBM34982962207975,904-76-9217,188.11,Books & Media
15001300,02/18/2014,"Kerr, Ryan",Mason Ltd Friedman,929-82-4759,GB32MKCO74382010852522,991-91-7229,327.08,Clothing
96430839,01/13/2019,"Bennett, Chavez",Alexander-Petersen Joyce Ville,971-80-5191,Not Found,934-91-7455,4958.16,Electronics
37877758,07/02/2014,Holmes-Whitney PSC,"Jordan, Jones and",945-75-6162,GB81XDRW19367191324873,953-92-4049,47320.32,Furniture
33102457,09/18/2018,Harris LLC,"Pierce, Bush and",937-81-0462,GB42MQKW89908599665710,974-83-3645,18281.24,Furniture
65028137,01/03/2014,"Johnson, Barrett",Townsend-Mitchell Thomas Field,944-72-9866,GB10AMVD30795287137531,988-84-2952,98.95,Electronics
22083742,03/01/2014,"Smith, Schaefer",Smith-Petersen Mary Fall,902-72-8574,GB62IACN00896958403438,934-70-6847,7920.00,Furniture
51295021,01/05/2017,Sims-Olson USS,Martinez-English Barrett Plain,922-88-3881,GB64NDCS47020318571282,965-87-8819,9256.59,Furniture
44848471,03/26/2021,"Proctor, Levy","Roth, Morris and",902-74-7536,GB89NZLM61247862676381,913-71-7249,838.68,Clothing
32830026,12/20/2014,"George, Casey","Stewart, Fields and",907-77-8965,GB810UZN44807763808287,995-83-6792,1140.24,Electronics
54661411,07/29/2020,Fitzgerald Group,Powell-Floyd Adams Island,928-97-0774,GB34CHOA94863267286764,913-98-4271,7920.58,Furniture
58379529,05/31/2011,"Dalton, Chambers",Tanner Inc Henderson,944-77-4530,Not Found,913-94-1721,2934.70,Electronics
20434959,12/20/2011,"Garrett, Gonzales","Holloway, Stanton and",932-75-6582,GB35IHYS72111215388563,940-95-1310,29.67,Beverages
10942693,06/13/2018,Coleman Inc,Lopez-Garcia Snow Extensions,922-83-3513,GB76CSSR03453199859434,947-74-2259,21151.66,Furniture
97388190,12/13/2016,Cook Ltd,Pierce Inc Matthew,912-83-9339,GB36VWDA36824721563097,986-76-0381,329.84,Electronics
60456703,09/01/2016,Hines Ltd,Brown Ltd Unit,970-94-1776,Not Found,Not Found,373.98,Books & Media
78605417,08/07/2017,Campos LLC,Wilson-Hernandez Stephen Squares,909-73-7194,GB17WVTT56005535188252,940-87-7017,722.11,Clothing
94786467,11/19/2013,Campbell-Thomas Christopher,Gordon PLC Casey,936-70-6673,GB18QZIH77960348255932,919-88-4424,8479.08,Furniture
61669642,11/12/2013,Carter Inc,"Torres, Sutton and",940-76-9247,GB89DNYK55635059269556,909-87-3064,151.38,Books & Media
37060863,01/30/2021,Floyd-Figueroa Bass,Torres and Sons,964-80-9962,GB79IBVF13930075179399,953-87-7430,2022.82,Electronics
35593328,06/08/2011,Cruz-Carter Braun,Alexander-Arias Erin Parkway,938-91-6436,GB42RIFK65000994976015,942-92-5992,3004.96,Electronics
74980573,09/27/2015,West Group,Zimmerman and Sons,944-98-4907,Not Found,901-84-6442,191.26,Clothing
